,0,1,2,3,4
890,4,37,14,10,[3]
891,6,38,14,8,[4]
892,8,40,14,6,[0]
893,10,38,14,4,[3]
894,12,39,14,2,[4]
895,14,41,14,0,[0]
896,2,39,14,12,[0]
897,4,37,14,10,[5]
898,6,40,14,8,[4]
899,8,42,14,6,[2]
900,10,42,14,4,[2]
901,12,42,14,2,[1]
902,14,41,14,0,[0]
903,2,39,14,12,[0]
904,4,37,14,10,[4]
905,6,39,14,8,[1]
906,8,38,14,6,[3]
907,10,39,14,4,[3]
908,12,40,14,2,[1]
909,14,39,14,0,[4]
910,2,41,14,12,[0]
911,4,39,14,10,[2]
912,6,39,14,8,[0]
913,8,37,14,6,[0]
914,10,35,14,4,[5]
915,12,38,14,2,[4]
916,14,40,14,0,[0]
917,2,38,14,12,[3]
918,4,39,14,10,[0]
919,6,37,14,8,[2]
920,8,37,14,6,[1]
921,10,36,14,4,[1]
922,12,35,14,2,[0]
923,14,33,14,0,[5]
924,2,36,14,12,[5]
925,4,39,14,10,[5]
926,6,42,14,8,[3]
927,8,43,14,6,[1]
928,10,42,14,4,[2]
929,12,42,14,2,[0]
930,14,40,14,0,[0]
931,2,38,14,12,[5]
932,4,41,14,10,[0]
933,6,39,14,8,[5]
934,8,42,14,6,[0]
935,10,40,14,4,[1]
936,12,39,14,2,[1]
937,14,38,14,0,[5]
938,2,41,14,12,[3]
939,4,42,14,10,[4]
940,6,44,14,8,[3]
941,8,45,14,6,[3]
942,10,46,14,4,[1]
943,12,45,14,2,[1]
944,14,44,14,0,[3]
945,1,0,14,13,[4]
946,3,2,14,11,[1]
947,5,1,14,9,[0]
948,7,0,14,7,[2]
949,8,0,14,6,[4]
950,10,2,14,4,[1]
951,12,1,14,2,[0]
952,2,0,14,12,[3]
953,3,1,14,11,[1]
954,5,0,14,9,[0]
955,6,0,14,8,[0]
956,6,0,14,8,[3]
957,7,1,14,7,[5]
958,9,4,14,5,[1]
959,2,3,14,12,[5]
960,4,6,14,10,[3]
961,6,7,14,8,[4]
962,8,9,14,6,[4]
963,10,11,14,4,[1]
964,12,10,14,2,[0]
965,14,8,14,0,[5]
966,2,11,14,12,[2]
967,4,11,14,10,[1]
968,6,10,14,8,[2]
969,8,10,14,6,[3]
970,10,11,14,4,[1]
971,12,10,14,2,[1]
972,14,9,14,0,[2]
973,2,9,14,12,[0]
974,4,7,14,10,[1]
975,6,6,14,8,[5]
976,8,9,14,6,[3]
977,10,10,14,4,[2]
978,12,10,14,2,[1]
979,14,9,14,0,[5]
980,2,12,14,12,[1]
981,4,11,14,10,[1]
982,6,10,14,8,[2]
983,8,10,14,6,[2]
984,10,10,14,4,[3]
985,12,11,14,2,[3]
986,14,12,14,0,[2]
987,2,12,14,12,[1]
988,4,11,14,10,[2]
989,6,11,14,8,[0]
990,8,9,14,6,[2]
991,10,9,14,4,[2]
992,12,9,14,2,[0]
993,14,7,14,0,[0]
994,2,5,14,12,[0]
995,4,3,14,10,[4]
